Title,Link,"Tag (to add more than one, duplicate the row)",Last updated,Content type,Content sub-type,link_title,link_content_id,link_type,Policies,Collections,Withdrawn,12-month timeline,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,Total unique pageviews,Highest month,Lowest month,Monthly average,Monthly median,Recommendation,Redirect/combine with which content url,Notes,Changes live yet?,Status code,Redirecting
Changes to education inspection from September 2015,https://www.gov.uk/guidance/changes-to-education-inspection-from-september-2015,,15/06/2015,Detailed guidance,Detailed guide,,,ofsted,,,,,,,,,,,"54,279","30,368","23,764","36,636","19,671","14,182","178,900","54,279","14,182","14,908","27,066",current - no work needed,,Traffic still relatively high - look at archiving in 6 months' time. ,,200,
School inspection handbook from September 2015,https://www.gov.uk/government/publications/school-inspection-handbook-from-september-2015,,24/09/2015,Publication,Guidance,,,ofsted,,/government/collections/ofsted-inspections-of-maintained-schools,,,,,,,,,"31,288","21,936","16,710","51,200","31,903","30,774","183,811","51,200","16,710","15,318","31,031",current - no work needed,,,,200,
Government brings forward plans to double free childcare for working families,https://www.gov.uk/government/news/government-brings-forward-plans-to-double-free-childcare-for-working-families,,01/06/2015,News article,Press release,,,"department-for-education, department-for-work-pensions, prime-ministers-office-10-downing-street",childcare-and-early-education,,,,,,,,,1,"49,993","32,391","33,683","29,669","28,679","22,330","196,746","49,993",1,"16,396","29,669",current - no work needed,,Page not found,N/A,200,
"Common inspection framework: education, skills and early years from September 2015",https://www.gov.uk/government/publications/common-inspection-framework-education-skills-and-early-years-from-september-2015,,28/08/2015,Publication,Guidance,,,ofsted,,"/government/collections/ofsted-inspections-of-further-education-and-skills-providers, /government/collections/ofsteds-inspection-of-early-years-providers, /government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations, /government/collections/ofsteds-inspections-of-non-association-independent-schools, /government/collections/ofsted-inspections-of-maintained-schools",,,,,,,,,"40,712","21,102","19,103","49,605","27,210","21,799","179,531","49,605","19,103","14,961","24,504",current - no work needed,,,,200,
Early years (under 5s) foundation stage framework (EYFS),https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2,,29/07/2014,Publication,Statutory guidance,"schools-colleges-childrens-services/exams-testing-assessment, schools-colleges-childrens-services/early-years",,department-for-education,childcare-and-early-education,"/government/collections/early-learning-and-childcare-guidance-for-early-years-providers, /government/collections/statutory-guidance-schools",,,"19,959","36,361","28,471","32,418","27,648","28,336","32,478","28,363","19,183","33,782","37,166","40,124","364,289","40,124","19,183","30,357","30,444",current - no work needed,,,N/A,200,
SEND code of practice: 0 to 25 years,https://www.gov.uk/government/publications/send-code-of-practice-0-to-25,,01/05/2015,Publication,Statutory guidance,schools-colleges-childrens-services/special-educational-needs-disabilities,,"department-for-education, department-of-health",special-educational-needs-and-disability-send,/government/collections/statutory-guidance-schools,,,"19,825","31,127","28,680","30,289","23,036","21,922","18,663","14,098","9,959","18,216","21,603","21,529","258,947","31,127","9,959","21,579","21,566",current - no work needed,,,N/A,200,
Early years inspection handbook from September 2015,https://www.gov.uk/government/publications/early-years-inspection-handbook-from-september-2015,,28/08/2015,Publication,Guidance,,,ofsted,,"/government/collections/ofsteds-inspection-of-early-years-providers, /government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations",,,,,,,,,"15,149","13,738","14,284","30,578","17,000","12,777","103,526","30,578","12,777","8,627","14,716",current - no work needed,,,,200,
Find free early education and childcare,https://www.gov.uk/find-free-early-education,,25/06/2015,Local transaction,,,"childcare-parenting/childcare, births-deaths-marriages/child-adoption",,,,,,"6,613","16,645","12,389","14,434","12,648","13,017","15,369","17,763","17,304","26,084","18,496","18,144","188,906","26,084","6,613","15,742","16,007",,,,,#ERROR!,#ERROR!
Schools: statutory guidance,https://www.gov.uk/government/collections/statutory-guidance-schools,,10/08/2015,Document collection,Collection,,,department-for-education,teaching-and-school-leadership,,,,"7,641","21,123","18,056","21,746","18,232","19,153","21,608","15,489","10,420","23,384","21,697","19,773","218,322","23,384","7,641","18,194","19,463",current - no work needed,,,N/A,200,
Find a Sure Start Children's Centre,https://www.gov.uk/find-sure-start-childrens-centre,,29/06/2015,Transaction,,,"childcare-parenting/childcare, births-deaths-marriages/marriage-divorce, births-deaths-marriages/child-adoption",department-for-education,,,,,"12,356","23,325","18,845","19,490","16,572","16,665","16,810","17,198","15,382","20,399","17,211","15,937","210,190","23,325","12,356","17,516","17,004",,,,N/A,200,
Find an Ofsted inspection report,https://www.gov.uk/find-ofsted-inspection-report,,17/12/2014,Transaction,,,"childcare-parenting/childcare, births-deaths-marriages/child-adoption, education/school-admissions-transport, education/school-life","department-for-education, ofsted",,,,,"2,054","5,349","5,138","15,871","19,659","20,056","22,872","20,810","13,915","21,454","20,007","21,051","188,236","22,872","2,054","15,686","19,833",current - no work needed,,,N/A,200,
New era for Ofsted inspection,https://www.gov.uk/government/news/new-era-for-ofsted-inspection,,15/06/2015,News article,Press release,,,ofsted,,,,,,,,,,,"21,506","1,887",573,940,642,619,"26,167","21,506",573,"2,181",791,current - no work needed,,,,200,
Early years foundation stage,https://www.gov.uk/early-years-foundation-stage,,11/05/2015,Answer,,,"births-deaths-marriages/child-adoption, education/school-life",department-for-education,,,,,"10,695","18,397","15,006","16,339","13,616","14,876","16,582","13,898","10,583","19,913","19,946","19,065","188,916","19,946","10,583","15,743","15,672",current - no work needed,,,N/A,200,
Children with special educational needs (SEN),https://www.gov.uk/children-with-special-educational-needs,,25/11/2014,Guide,,,"childcare-parenting/schools-education, education/school-life",department-for-education,,,,,"3,617","19,838","5,618","6,010","4,415","4,416","4,099","3,839","3,211","5,289","5,333","4,686","70,371","19,838","3,211","5,864","4,551",out of date - update now,,We're in the process of updating this page. In discussion with policy and GDS.,N/A,200,
"Inspecting safeguarding in early years, education and skills from September 2015",https://www.gov.uk/government/publications/inspecting-safeguarding-in-early-years-education-and-skills-from-september-2015,,28/08/2015,Publication,Guidance,,,ofsted,,/government/collections/ofsted-inspections-of-maintained-schools,,,,,,,,,"10,940","9,163","7,893","19,710","10,071","7,211","64,988","19,710","7,211","5,416","9,617",current - no work needed,,,,200,
Register as a childminder or childcare provider (England),https://www.gov.uk/register-childminder-childcare-provider,,27/11/2014,Guide,,,business/setting-up,"department-for-education, ofsted",,,,,"8,326","18,760","14,875","16,433","13,123","14,012","15,631","12,683","9,444","12,114","10,926","9,966","156,293","18,760","8,326","13,024","12,903",current but needs work - improve now,,Ofsted policy currently reviewing following changes this year.,,200,
Complain about a school or childminder,https://www.gov.uk/complain-about-school,,03/12/2014,Answer,,,"childcare-parenting/schools-education, childcare-parenting/childcare, education/school-life","department-for-education, ofsted",,,,,"7,913","13,533","13,528","16,686","9,797","12,091","14,718","12,698","4,835","13,867","13,780","8,013","141,459","16,686","4,835","11,788","13,113",,,Ok re Ofsted content,N/A,200,
