url,text
/government/publications/apprenticeship-standard-early-years-educator,"Apprenticeship standard: early years educator Describes the job role that an apprentice will be doing and the skills required of them by the early years sector."
/government/speeches/sarah-teather-in-nursery-world-on-graduate-funding-for-early-years-workforce,"Sarah Teather in 'Nursery World' on graduate funding for Early Years workforce Children's Minister Sarah Teather announces continued funding for graduate programmes for the early years workforce in her column in 'Nursery World'."
/guidance/emergencies-and-severe-weather-schools-and-early-years-settings,"Emergency planning and response How schools and other educational settings should plan for and deal with emergencies, including severe weather and floods."
/government/news/number-of-childrens-centres-by-local-authority,"Number of children's centres by local authority Download details of the number of Sure Start children's centres in each local authority."
/government/publications/2010-to-2015-government-policy-childcare-and-early-education,"2010 to 2015 government policy: childcare and early education How the government is making childcare and early education accessible to more children to give them the best possible start."
/government/statistics/childcare-and-early-years-providers-survey-2011,"Childcare and early years providers survey: 2011 This report covers the latest findings from the Department for Education's regular survey of childcare and early years providers. The survey collects information on the characteristics of both providers and the workforce, including number of places and children and the qualifications of staff."
/government/statistics/childcare-and-early-years-providers-survey-2010,"Childcare and early years providers survey: 2010 This report covers the latest findings from the Department for Education's regular survey of childcare and early years providers."
/government/statistics/childcare-and-early-years-providers-survey-2013,"Childcare and early years providers survey: 2013 Statistics on the characteristics of childcare and early years provision, including the number of providers and children attending."
/government/statistics/foundation-stage-profile-attainment-by-pupil-characteristics-england-academic-year-2009-to-2010,"EYFSP attainment by pupil characteristics: 2009 to 2010 Early years foundation stage profile (EYFSP) assessments, by pupil characteristics in England, for academic year 2009 to 2010."
/government/news/childcare-support-will-be-paid-to-around-80000-more-households,"Childcare support will be paid to around 80,000 more households Childcare support will be paid to around 80,000 more households, Nick Clegg and Welfare Secretary Iain Duncan Smith announced today."
/government/news/professor-cathy-nutbrown-speaks-at-the-early-years-conference,"Professor Cathy Nutbrown speaks at the Early Years Conference Professor Nutbrown shares her recommendations on education for the very young."
/government/news/childcare-qualifications-overhaul,"Childcare qualifications overhaul The National College of Teaching and Leadership sets out more detail on what will be expected of the new early years teachers and early years educators."
/government/publications/pre-registration-briefing-for-those-wishing-to-become-childminders,"Become a childminder: pre-registration briefing This is a presentation of the pre-registration briefing for childminders."
/government/publications/apprenticeship-standard-early-years-educator,"Apprenticeship standard: early years educator Describes the job role that an apprentice will be doing and the skills required of them by the early years sector."
