url,text
/government/publications/apprenticeship-standard-early-years-educator,"This document is relevant to: those looking to apply for an apprenticeship employers wanting to recruit an apprentice training organisations working with employers to make the apprenticeships available This standard is not yet ready to use. An apprenticeship standard is only available for delivery when both the standard and assessment plan is approved and a funding band (core government contribution) has been assigned to the standard. Under our reforms, employer-designed standards will replace frameworks, and will be clear and concise. From 2017 to 2018 as many apprenticeship starts as possible will be on the new standards. Employers involved in creating this standard If you’d like to get involved and contribute to the development of the early years educator standard, please read the guidance for trailblazers , and email the Trailblazer contacts: cm.eyequality@btinternet.com . The standard for a early years educator was developed by: The Hadland Group (including Tops Day Nurseries) Pre-School Learning Alliance National Day Nursery Association Puffins of Exeter Sheffield Children’s Centre Busy Bees Nurseries Blois Meadow Day Nursery Bertram Day Nurseries Bright Horizons Jancett Childcare"
/government/speeches/sarah-teather-in-nursery-world-on-graduate-funding-for-early-years-workforce,"A highly skilled early years workforce is critical if we are to combat inequality, help tackle poverty and improve the life chances of the most disadvantaged children. It’s simply not good enough that the highest early achievers from disadvantaged backgrounds are overtaken by more well-off, lower achieving children by the age of five. That’s why I’m delighted to announce in my column this week that we will continue to invest funding in graduate programmes in the financial year 2011 to 2012, and the Children’s Workforce Development Council (CWDC) will continue to deliver both the early years professional status (EYPS) and the new leaders in early years (New Leaders) programmes. There are now over 6,000 professionals with EYPS across the country and more than 4,000 currently in training. We know that graduate programmes are highly valued by those who have taken part, but also by the sector more widely. Indeed, a survey published this week by CWDC shows the EYPS programme helps to raise the status and confidence of graduate leaders who have achieved it. Both EYPs and qualified teachers working in the sector play a crucial role in not only improving the achievement of children, but also sharing knowledge and helping to improve the skills of other members of staff. In addition, New Leaders, a two-year programme to achieve EYPS and an early years master’s degree, will recruit graduates from outside the sector with the capability to be outstanding leaders in early years settings. Bringing different skills and a fresh way of looking at things, these graduates will help raise the profile and status of those working in the sector. Through these programmes, we’re committed to raising standards and improving the qualifications and skills of the workforce. But this shouldn’t be done through over-burdening or regulating the sector. This means moving away from the previous government’s target-driven approach and allowing local authorities to make decisions which reflect their communities’ needs. As I’ve said before in these pages, the Department for Education secured a good spending review settlement for early years services against a difficult economic backdrop. The Early Intervention Grant brings together funding for Sure Start, youth and family support for the most vulnerable children and will give local authorities greater freedom and flexibility in designing local services. This includes the recruitment and deployment of graduate leaders and investment in other qualifications to support the wider workforce. I do hope that local authorities will recognise the strong evidence for investing in a high-quality workforce when taking these decisions. The leading authorities are already planning how to target funding on areas and settings serving the children most likely to fall behind their peers at the age of 5. As well as supporting the development of a graduate-led workforce, we also need to help Sure Start children’s centre leaders to continue to develop their skills. Sure Start children’s centres are central to delivering high-quality early years care and support. We want centre leaders to understand how they can use their resources most effectively to target families most in need, with programmes that are proven to work. Graham Allen’s review on early intervention, published last week, will help to inform this approach. I’m really pleased that the National College will continue to support children’s centre leadership development - as set out in the Schools White Paper, ‘The Importance of Teaching’; including the highly successful National Professional Qualification in Integrated Centre Leadership (NPQICL) and Children’s Centre Leaders Network. I know there are some really powerful networks of children’s centre leaders being developed - providing a brilliant opportunity for leaders to hone their skills, share good practice and support each other. I am also looking forward to receiving Dame Clare Tickell’s review of the early years foundation stage (EYFS) in the spring - which is likely to contain recommendations that will impact on the early years workforce. CWDC will work closely with my department to ensure that future training programmes, including the EYPS and New Leaders, reflect any changes resulting from this review. There is a lot to feel confident about in the early years workforce. I hope the ongoing investment in graduate programmes, coupled with support for Sure Start centre leaders and local level investment, will help support a strong, graduate-led workforce into the future."
/guidance/emergencies-and-severe-weather-schools-and-early-years-settings,"Making an emergency plan The aim of an emergency plan is to help staff respond effectively to an emergency at school or on an educational visit. Your emergency plan should be generic enough to cover a range of potential incidents that could occur, including: serious injury to a pupil or member of staff (eg transport accident) significant damage to school property (eg fire) criminal activity (eg bomb threat) severe weather (eg flooding) public health incidents (eg flu pandemic) the effects of a disaster in the local community Your plan should cover procedures for incidents occurring during and outside school hours, including weekends and holidays. You should also include emergency procedures for extended services, such as breakfast clubs, after-school clubs and holiday activities. The planning process Preparing for emergencies is an ongoing process involving: risk assessment planning training exercises reviewing Throughout each stage of this process it is important to consult members of staff and governors to gain their involvement and support. School emergency plan template and guidance A school emergency plan template and accompanying guidance are available to download from Nottinghamshire County Council. Whether you adopt the template or choose to use your own, you can use the guidance to develop appropriate arrangements for your school. Resources Nottinghamshire County Council has also developed resources to help train staff and run exercises , including: risk assessment and planning templates training materials tabletop exercises You may not need to use all of these resources in order to have an effective emergency plan, and these documents shouldn’t replace any existing arrangements your school has in place. Your local authority may have already sent emergency planning guidance to your school. If so, please contact your local authority for advice before using these resources. Electronic storybooks, games and puzzles to use in classroom lessons on emergency planning are also available. The Cabinet Office has developed a single point of reference for emergency planning terminology . Severe weather During severe weather conditions, such as flooding or snow, you should keep your school or early years setting open for as many children as possible. However, it might be necessary to close temporarily due to inaccessibility or risk of injury. You should do all you can to reopen as soon as possible. If flooding has significantly affected your school or early years setting, you should contact our incident alert team . If you’re an early years provider and have had to move to temporary premises, you should check to see if you need to register with Ofsted at your new premises. School attendance statistics Where children are unable to get to school due to severe weather conditions, you can mark them in the register using absence code ‘Y’. This means that their absence won’t affect your school’s attendance figures. However, if you believe that a child could have got to school, their absence should be recorded as unauthorised using code ‘O’. Staff absence If some of your teachers can’t get to work, you should be flexible by, for example: bringing together groups and classes with teachers and support staff working together using other school staff or volunteers to provide cover supervision or oversee alternative activities re-arranging the curriculum Reception and other infant classes (children aged 5, 6 or 7) should normally be groups of 30 or fewer, but having more than 30 in one class due to temporary exceptional circumstances is not a reason to close the school or the class. Exam disruption You should prepare for possible disruption to exams as part of your emergency planning and make sure your staff are aware of these plans. If you have to close your school, or if a child misses an exam due to an emergency, you should discuss alternative arrangements with your awarding bodies. You are responsible for making sure parents and children know what has been agreed, for example: using alternative venues an exam result being generated by the awarding body, based on factors such as a child’s performance on other assessments in the same subject the opportunity for children to sit any missed exam later in the year Contact details [Contact:1629] Useful information You may find the following links useful when considering your plan: Cabinet Office: preparation and planning for emergencies Cabinet Office: pandemic flu DfE: health and safety advice for schools DfE: preventing extremism in the education and children’s services sectors DfE: school security: advice on access to, and barring of individuals from, school premises Met Office: severe weather warning system  "
/government/speeches/written-ministerial-statement-by-edward-timpson-on-voluntary-and-community-sector-prospectus,"The Department for Education is today publishing a National Prospectus launching our new Grants Programme for 2013-15. It also describes a number of additional key services and activities that we will be investing in for the benefit of children, young people and families over the course of the next two years. The package will be worth up to an estimated £60m made up of £30m of grant funding and £30m of contracts, in both 2013-14 and 2014-15. It follows the £60m annual grant investment in both 2011-12 and 2012-13, announced in February last year. That investment specifically included funding to help successful bidders remodel their long-term financing to help them reduce their dependence on central Government grants once the current two year funding period ends. The National Prospectus Grants Programme 2013-15 will provide up to £30m in grant funding each year in 2013-14 and 2014-15. The scheme will focus on delivering the following five priorities: Promote excellence in early education and childcare, so enabling all children to achieve success in their early years and later education. Develop and reform safeguarding services that protect and support children at risk of harm. Develop and reform the care system and speed up the process of adoption. Develop and reform services that support children with SEN, disabilities and other health needs. Focus and develop local services to support improved outcomes for young people, particularly the most disadvantaged and vulnerable. We are inviting applications from voluntary and community sector organisations, social enterprises and other organisations bidding on a “not for profit” basis. We hope to receive new, innovative proposals for work which can make a real difference on the ground and inform and guide national policy in our priority areas. Funding will be available for two years from 1 April 2013. The grants programme application process opens today. Bids must be received by noon on the 30 November 2012. The accompanying grants prospectus sets out the details of the bidding process. In addition to the Grants Programme we will be continuing to invest in services for children, young people and their families through funding a number of services for specific activities that meet our policy priorities. The Prospectus provides brief details of a number of contracted services which we expect to procure in the coming months. We expect to make announcements about contracts for a range of new relationship support services later this year. We have also recently announced that we will be continuing funding for a number of online and telephone family support services. Taken together in conjunction with the Grants Programme we estimate up to £60m will be made available to support these activities and services for children and families in each year in 2013-14 and 2014-15. A copy of the National Prospectus has been placed in the House Libraries. Further information The VCS funding page is also available and provides links to relevant National Prospectus Grants Progamme documents. [Contact:997]"
/government/publications/2010-to-2015-government-policy-childcare-and-early-education,"This policy paper shows the policy of the 2010 to 2015 Conservative and Liberal Democrat coalition government. Find out about the current government’s policies ."
/government/statistics/childcare-and-early-years-providers-survey-2011,"Reference Id: OSR18/2012 Publication type: Statistical release Publication data: Pre-release access data Region: England Release date: 31 January 2013 Coverage status: Final Publication status: Recently updated The 2011 childcare and early years providers survey is the latest report in a series of surveys that began in 1998. The 2011 report provides information on the key characteristics of childcare and early years provision and the early years workforce across the public, private and voluntary sectors. This includes information on: provider characteristics number of places and children attending staff characteristics qualifications of staff profitability of providers Key breakdowns are by types of providers, region, and levels of deprivation. Where appropriate, comparisons are made with previous waves of the survey, largely the 2010, 2009, 2008, 2007 and 2006 waves. Key findings In 2011 the survey recorded 107,900 childcare and early years providers in England, of which 15,700 were early years providers in maintained schools and 92,200 were childcare providers. This marks a slight increase from the figures in 2010, when the survey recorded a total of 105,100 childcare and early years settings. The survey recorded a total of 48,800 active childminders in 2011, an increase of 3% on the 47,400 who were active in 2010. In 2011, there were an estimated 462,500 vacancies across all types of provider, compared to an estimated 440,800 vacancies in 2010. There were 134,600 vacancies in full day care settings. In 2011 the estimated total number of paid and unpaid staff stands at 426,500. The total number of staff working across all childcare and early years settings decreased by 2% between 2010 and 2011, this include both paid and unpaid staff. There was a marked decrease in the number of unpaid staff, which fell by 19% between 2010 and 2011. The large majority of staff in group-based childcare settings had a relevant qualification at level 3 (79%) in 2011. This is a significant increase from the figure of 65% in 2007 and marks progress from the 2010 figure of 76%. The proportion of childminders with a level 3 qualification had also increased, from 54% in 2010 to 59% in 2011. The proportion of settings reporting that they had made a profit was on a par with the proportions seen in 2010. Amongst full day care settings, the proportion making a loss fell from 19% in 2010 to 12% in 2011. In sessional settings the equivalent decrease was from 20% to 14%, while holiday clubs fell from 23% in 2010 to 18% in 2011. Explanatory note about amendments Amendments have been made to the childcare and early years providers survey 2011 following the identification of a small issue with certain weights in the dataset that had been applied to the ‘other paid staff’ from sessional childcare settings. This resulted in minor errors in some of the tables covering pay (chapter 5) and qualifications (chapter 6) for sessional providers. Maura Lantrua 0114 274 2064 maura.lantrua@education.gsi.gov.uk"
/government/statistics/childcare-and-early-years-providers-survey-2010,"Reference Id: OSR17/2011 Publication Type: Statistical Release Publication data: Pre-release access data Region: England Release Date: 28 September 2011 Coverage status: Final Publication Status: Published The 2010 childcare and early years providers survey is the latest report in a series of surveys that began in 1998. The 2010 report provides information on the key characteristics of childcare and early years provision and the early years workforce across the public, private and voluntary sectors. This includes information on: provider characteristics; number of places and children attending; staff characteristics; qualifications of staff; training; recruitment and retention; income and expenditure. Key breakdowns are by types of providers, region, and levels of deprivation. Where appropriate, comparisons are made with previous waves of the survey, largely the 2009, 2008, 2007 and 2006 waves. Key findings from the survey: In 2010 the survey recorded 105,100 providers of childcare and early years education, of which 15,700 were early years providers in maintained schools and 89,500 were childcare providers. The long-term decrease in the number of active childminders continued in 2010 and the total now stands at 47,400. This marks a decrease of 7% since 2009 (in contrast to the other types of childcare provider whose numbers increased in 2010). In 2010, there were an estimated 440,800 vacancies across all types of provider. Around a quarter of these (28%) were to be found in full day care settings, where there were 122,700 vacancies. With the exception of sessional providers, there has been an increase in the estimated number of paid and unpaid staff working in all types of childcare settings since 2005, and the estimated total across all types of setting now stands at 434,100. The large majority of staff in group-based childcare settings had a relevant qualification at level 3 (76%) in 2010. This is a significant increase from the figure of 65% in 2007 and marks progress from the 2009 figure of 73%. The proportion of childminders with a level 3 qualification had also increased, from 41% in 2007 to 54% in 2010. In general there was little evidence that the financial situation of most types of provider had deteriorated in 2010. Two thirds (66%) of full day care providers and three quarters (74%) of sessional providers reported that they had either made a profit or covered their costs in the previous financial year. Maura Lantrua 0114 274 2064 maura.lantrua@education.gsi.gov.uk"
/government/statistics/childcare-and-early-years-providers-survey-2013,"This release gives information on the main characteristics of childcare and early years provision in England, including: provider characteristics number of places number of children attending staff characteristics and qualifications fees profitability The underlying data for this release will be provided at a later date. Contact details Maura Lantrua Telephone: 0114 274 2064 Email: maura.lantrua@education.gsi.gov.uk"
/government/statistics/foundation-stage-profile-attainment-by-pupil-characteristics-england-academic-year-2009-to-2010,"Reference Id: SFR39/2010 Publication Type: Statistical First Release Publication data: Underlying Statistical data Local Authority data: LA data Region: England Release Date: 16 December 2010 Coverage status: Final Publication Status: Published This statistical first release provides information showing attainment for the early years foundation stage profile (EYFSP) for 2009 to 2010 by pupil characteristics, specifically gender, ethnicity, eligibility for free school meals (FSM), special educational needs (SEN) and English as a first language. It shows: 64.9% of girls achieved a good level of development compared to 46.8 percent of boys. Pupils from Irish, Mixed White and Asian, Indian and White British ethnic backgrounds achieved the highest level above the national average of 55.6% for a good level of development. 57.7 percent of pupils whose first language is English achieved a good level of development, compared with 46.6 of pupils for whom English is an additional language. 59.2% of pupils not eligible for free schools meals achieved a good level of development, compared to 39.5% for pupils known to be eligible for free school meals. 60.0 percent for those pupils with no identified SEN achieved a good level of development compared to 18.6 percent of pupils with SEN (both with a statement of SEN and without a statement). Gill Atkinson - Data Outputs Unit 01325 735435 mailbox.dataoutputsunit@education.gsi.gov.uk"
/government/news/childcare-support-will-be-paid-to-around-80000-more-households,"Reaffirming their commitment to helping parents with the costs of childcare, the Government will invest an additional £300 million into childcare support under Universal Credit, on top of the £2bn already spent under the current system.   Currently, childcare support is only available if you work 16 hours or more, but the Government is removing the minimum hours rule so that all families receiving Universal Credit will be eligible for financial help. This means that families on low incomes will receive more support to keep them in work.   As now families will be able to recover childcare costs at 70 per cent - up to £175 for one child or £300 for two or more children per week.  The money will paid through Universal Credit from 2013 and will mean that around 80,000 more families with children will be able to work the hours they choose.    Deputy Prime Minister, Nick Clegg said: Childcare support is vitally important. It’s a lifeline for families up and down the country, particularly for mums who want to get back into work, maybe for just a few hours a week after they’ve had children. This will help an extra 80,000 families who have previously had no help at all with childcare costs. We all know how difficult it is sometimes to juggle family and work but this is really good news, especially for lone parents and mums up and down the country. I want to ensure that this Coalition Government is there for families of all shapes and sizes and help them with the difficult daily juggling act between family and work. Work and Pensions Secretary Iain Duncan Smith said: We are determined to help more parents take their first steps into work, but under the current minimum hours rule parents are trapped in state dependency without the childcare support they badly need - providing yet another barrier to work. Under Universal Credit more people will receive support for childcare than they do now. Parents will be able to work the hours to suit their families and receive the childcare support they deserve. We will target support at those making the first steps into work - support won’t just be available for those working more than 16 hours, it will also be there for those working fewer than 16 hours. The additional support, combined with State funded free early years education for younger children will enable parents of children of any age to bring together full time paid employment with parenting, and will ensure that those with school age children can meet their job search obligations.   Costs can vary, but for those paying average childcare costs, this would enable parents to buy up to around 40 hours of childcare a week.   The limits will also be applied monthly giving parents more flexibility to manage fluctuating costs at peak times, such as school holiday periods when they may face higher costs some weeks and lower costs on other weeks. Notes to editors In the 2010 Spending Review the Government protected the universal entitlement to 15 hours a week of free childcare for all 3 and 4 year olds, and extended it for the first time to disadvantaged 2-year olds. Universal Credit will create one single income-replacement benefit for working age adults, including childcare costs for working parents. This childcare policy will cost an additional £300m per year. Universal Credit is on track to start on time in 2013 to secure a Welfare State fit for the 21st Century. Over the following four years we will convert 19 million claims under the existing out-of-work benefits and tax credits system to eight million household payments under Universal Credit.  The scale of the IT delivery is similar to that for Employment Support Allowance which was successfully delivered by DWP on time and within budget (October 2008)."
